date,open,high,low,close,volume
2018-11-20,4559.91,4787.2,4413.85,4661.07,61071.829475
2018-11-21,4661.08,4721.77,4335,4370,34531.119143
2018-11-22,4370.9,4484,4222.94,4420.61,49371.920322
2018-11-23,4415.63,4527,3824.69,3932.44,61693.111006
2018-11-24,3933.68,4233,3652.66,4085.78,101693.975588
2018-11-25,4088.69,4206,3701,3862.2,94503.750767
2018-11-26,3864.45,3940,3689.12,3875.21,67480.607212
2018-11-27,3875.63,4394.47,3874.27,4264.85,91983.567949
2018-11-28,4262.06,4450.38,4125.65,4295.84,73980.198669
2018-11-29,4295.72,4341.36,3943,4041.32,67758.446283
2018-11-30,4041.27,4299.99,3963.01,4190.02,44840.073481
2018-12-01,4190.98,4312.99,4103.04,4161.01,38912.154790
2018-12-02,4160.55,4179,3827,3884.01,49094.369163
2018-12-03,3884.76,4085,3781,3951.64,48489.551613
2018-12-04,3950.98,3970,3745,3769.84,44004.799448
2018-12-05,3768.44,3899.99,3500,3508.75,68378.796943
2018-12-06,3508.75,3549.99,3224.6,3403.55,95145.457442
2018-12-07,3403.57,3495,3222,3410.93,55365.949949
2018-12-08,3411.36,3658,3394.04,3545.37,45956.893296
2018-12-09,3548.49,3610,3370.11,3432.88,40989.244553
2018-12-10,3434.01,3480,3324.32,3380.39,35920.864154
2018-12-11,3379.23,3492,3350,3445,33922.931286
2018-12-12,3446.38,3460,3255.5,3302.06,40040.917013
2018-12-13,3302.06,3335.39,3177,3224.17,44492.983807
2018-12-14,3225.19,3276.5,3156.26,3211.72,29796.041436
2018-12-15,3211.71,3294,3186,3228.67,24628.808538
2018-12-16,3229.22,3585,3216,3509.08,66761.751697
2018-12-17,3509.03,3678.59,3424.47,3652.98,61369.615257
2018-12-18,3653,3912.73,3622.55,3662.22,94137.341014
2018-12-19,3660.01,4120,3635,4049.62,101543.835986
2018-12-20,4051.86,4139.99,3764,3838.66,82343.850112
2018-12-21,3840.25,3979,3785,3948.91,42822.350872
2018-12-22,3948.91,4021.53,3870,3929.71,40117.531529
2018-12-23,3929.71,4198,3924.83,4008.01,64647.809129
2018-12-24,4010.11,4020,3646.41,3745.79,62725.629432
2018-12-25,3745.56,3837.15,3656.74,3777.74,42629.375817
2018-12-26,3777.74,3813.98,3535,3567.91,44097.392912
2018-12-27,3567.89,3887.25,3540.04,3839.26,45964.304987
2018-12-28,3839,3892,3670,3695.32,38874.373903
2018-12-29,3696.71,3903.5,3657.9,3801.91,33222.369262
2018-12-30,3803.12,3810,3630.33,3702.9,29991.778350
2018-12-31,3701.23,3810.16,3642,3797.14,23741.687033
2019-01-01,3796.45,3882.14,3750.45,3858.56,35156.463369
2019-01-02,3857.57,3862.74,3730,3766.78,29406.948359
2019-01-03,3767.2,3823.64,3703.57,3792.01,29519.554671
2019-01-04,3790.09,3840.99,3751,3770.96,30490.667751
2019-01-05,3771.12,4027.71,3740,3987.6,36553.806709
2019-01-06,3987.62,4017.9,3921.53,3975.45,31869.846264
2019-01-07,3976.76,4069.8,3903,3955.13,38901.423122
2019-01-08,3955.45,4006.81,3930.04,3966.65,28989.439511
2019-01-09,3966.06,3996.01,3540,3585.88,59402.228510
2019-01-10,3585.88,3658,3465,3601.31,38338.654733
2019-01-11,3601.31,3618.19,3530,3583.13,21999.928354
2019-01-12,3584.1,3611.1,3441.3,3476.81,26385.757454
2019-01-13,3477.56,3671.87,3467.02,3626.09,35235.211215
2019-01-14,3626.08,3648.42,3516.62,3553.06,34137.997459
2019-01-15,3553.06,3645,3543.51,3591.84,27480.179977
2019-01-16,3591.84,3634.7,3530.39,3616.21,29755.440838
2019-01-17,3613.32,3620,3565.75,3594.87,22713.446755
2019-01-18,3594.87,3720,3594.23,3665.3,22171.578123
2019-01-19,3665.75,3693.73,3475,3539.28,27901.938598
2019-01-20,3539.26,3559.51,3475.5,3526.9,19644.436839
2019-01-21,3526.88,3608.5,3434.85,3570.93,29336.442967
2019-01-22,3570.41,3607.98,3514.5,3552.82,24938.842698
2019-01-23,3552.97,3589,3529.22,3569.62,20826.251180
2019-01-24,3569.07,3587.15,3522.51,3565.29,17608.346671
2019-01-25,3566.69,3662.94,3545,3565.25,19476.532344
2019-01-26,3565.62,3579,3486,3550.84,22735.598162
2019-01-27,3550.05,3557.75,3380.27,3434.15,40405.111401
2019-01-28,3434,3443.45,3349.92,3411.04,29544.928977
2019-01-29,3410.04,3478,3387.1,3458.18,23968.260243
2019-01-30,3457.5,3489.2,3418.8,3434.1,29607.190253
2019-01-31,3434.1,3488,3401.2,3462.07,25260.476159
2019-02-01,3462.2,3526.4,3440.29,3504.77,17920.802000
2019-02-02,3504.06,3511.09,3426,3458.11,19867.336390
2019-02-03,3458.11,3484.88,3433.31,3463.22,23131.981108
2019-02-04,3463.22,3478.97,3448.43,3471.59,25264.415030
2019-02-05,3471.57,3482.72,3380,3405.37,35310.244846
2019-02-06,3407,3426.45,3390,3398.4,18665.538638
2019-02-07,3398.4,3733.58,3373.1,3659.04,47968.058013
2019-02-08,3660.27,3680.02,3625.13,3665.18,24759.833719
2019-02-09,3665.18,3684.99,3609.76,3680.06,23250.602634
2019-02-10,3679.75,3684.9,3615.53,3631.05,24954.614571
2019-02-11,3631.05,3667.6,3582.34,3631.46,29479.598230
2019-02-12,3631.51,3670,3591.75,3609.4,25773.997648
2019-02-13,3608.34,3626.4,3568.11,3590.56,21753.501261
2019-02-14,3590.57,3653.23,3573.45,3602.47,20777.872899
2019-02-15,3602.49,3648.2,3597.91,3618.41,19565.992751
2019-02-16,3617.22,3700.11,3604.4,3667.58,25690.227779
2019-02-17,3667.62,3925,3655,3898.6,64042.730492
2019-02-18,3897.35,3994.52,3856,3907.79,50207.172667
2019-02-19,3907.35,3986.98,3870.66,3969.74,36205.140850
2019-02-20,3969.74,4016.48,3901.03,3937.31,31103.884728
2019-02-21,3937.31,3988,3926.65,3962,23943.163750
2019-02-22,3962,4162.02,3933.15,4117.76,33657.942883
2019-02-23,4118,4198,3712.66,3743.56,62224.186890
2019-02-24,3743.56,3872.66,3740,3827.92,38102.966245
2019-02-25,3828.44,3841.51,3777,3809.23,28838.748036
2019-02-26,3809.31,3838.85,3677.17,3818.07,31500.995466
2019-02-27,3818.04,3888,3763.87,3813.69,32561.961044
2019-02-28,3814.26,3857,3813.01,3823,23174.572170
2019-03-01,3822.17,3841.31,3772.25,3819.93,19445.838355
2019-03-02,3819.97,3835,3781.32,3807.75,16718.165410
2019-03-03,3807.32,3830,3670.69,3715.3,34742.841660
2019-03-04,3716.1,3877.1,3703.55,3857.73,32962.536162
2019-03-05,3857.58,3907,3813.09,3861.84,24775.118830
2019-03-06,3861.84,3905.4,3840.4,3873.64,26455.257661
2019-03-07,3873.63,3932,3800,3864.89,34730.366592
2019-03-08,3864.88,3971.75,3854.75,3943.04,30979.747653
2019-03-09,3943.43,3943.43,3881.69,3916.82,23187.561412
2019-03-10,3915.99,3936.98,3830,3871.61,38066.885705
2019-03-11,3871.61,3905.2,3826.06,3882.73,26921.008622
2019-03-12,3882.69,3893.56,3840,3866,24461.008757
2019-03-13,3866,3920,3810.43,3877.12,27048.748530
2019-03-14,3877.12,3939.22,3872.2,3923.76,21740.061498
2019-03-15,3924.46,4056.98,3921.98,4005.98,28568.376124
2019-03-16,4005.98,4012,3950.01,3981.14,18814.255577
2019-03-17,3981.85,4037,3953.33,3987.81,22454.478010
2019-03-18,3987.83,4031,3970,4015.53,19893.741815
2019-03-19,4017.48,4050,3980.5,4043.04,23432.300255
2019-03-20,4043.04,4069.32,3880.01,3980.64,35997.682119
2019-03-21,3980.85,4008,3968.25,3986.93,20022.606318
2019-03-22,3987.89,4018.83,3978.01,4006.01,17302.604318
2019-03-23,4006.01,4006.02,3950,3992.18,17179.850648
2019-03-24,3991.35,3999.3,3888.71,3936.12,33192.890217
2019-03-25,3935.47,3958.98,3894,3948.55,29349.537627
2019-03-26,3948.77,4048,3936.15,4038.05,32364.555852
2019-03-27,4039.58,4039.7,4002,4027.81,20089.293875
2019-03-28,4028.22,4123.71,4024.03,4103.25,30084.217444
2019-03-29,4104.24,4140,4052,4106.97,19509.292601
2019-03-30,4106.99,4116.12,4082.57,4103.95,13525.087433
2019-03-31,4102.44,4158.7,4067,4144.56,25507.067641
2019-04-01,4144.54,4897.99,4140.54,4857.29,105383.639263
2019-04-02,4857.19,5275.01,4753.5,4932.6,109890.125743
2019-04-03,4932.59,5039.08,4777,4898.66,61054.254168
2019-04-04,4898.64,5028.22,4880.62,5004.95,39768.552806
2019-04-05,5004.96,5205,4928.59,5043.89,41770.842313
2019-04-06,5042.07,5234,5026,5170.27,37615.486804
2019-04-07,5170.27,5305,5039,5236.9,50178.430782
2019-04-08,5238.38,5238.4,5076.68,5150,34067.012311
2019-04-09,5150,5422,5135,5308.25,40073.620471
2019-04-10,5307.86,5332.67,4927,5017.37,54696.600686
2019-04-11,5017.37,5080.58,4861.22,5048.01,33276.678614
2019-04-12,5047,5099,5004,5045.22,17292.456802
2019-04-13,5047.45,5152.99,5000,5131.3,18281.607739
2019-04-14,5131.28,5167.38,4950,5024.95,29057.191581
2019-04-15,5024.95,5197.72,5003.94,5173.72,24242.229493
2019-04-16,5173.72,5230.4,5146.8,5202.82,23307.536134
2019-04-17,5202.41,5287,5198.8,5258.44,22619.239001
2019-04-18,5258.44,5320,5175,5258.68,24611.236323
2019-04-19,5258.68,5333.42,5230.1,5291.73,19168.908274
2019-04-20,5292.91,5314.35,5165,5256.14,25549.570939
2019-04-21,5257.41,5400,5208.35,5357.14,29563.852309
2019-04-22,5357.14,5600,5332.41,5493.31,41262.103917
2019-04-23,5490.91,5582.2,5333.35,5415,48224.152413
2019-04-24,5415,5491.84,5102,5219.9,49636.089948
2019-04-25,5220.47,5510,5161.62,5314.1,48912.294513
2019-04-26,5315,5342.5,5257.67,5295.69,15422.896935
2019-04-27,5295.69,5340,5259.48,5307.52,14371.433869
2019-04-28,5309.81,5332,5178.8,5238.14,19918.135079
2019-04-29,5238.14,5339.98,5192.15,5320.81,22238.068230
2019-04-30,5321.94,5402,5316.2,5383.2,17217.473216
2019-05-01,5383.2,5538,5370,5492.87,22795.787835
2019-05-02,5494.81,5844,5477.57,5772.69,46297.172849
2019-05-03,5770.62,5900,5587.45,5829.45,39682.408991
2019-05-04,5829.83,5839.9,5696,5775.62,23822.543775
2019-05-05,5773.18,5805,5619.14,5747.79,25256.596325
2019-05-06,5749.92,6028.41,5747.74,5846.34,39905.064422
2019-05-07,5846.34,6014.72,5772.2,5987.29,23074.051520
2019-05-08,5986.66,6224.55,5983.71,6209.18,27453.011436
2019-05-09,6209.95,6468.92,6172,6373.33,36623.610790
2019-05-10,6375.16,7343.99,6372.85,7076.22,74022.424393
2019-05-11,7076.24,7521.78,6750,6967.31,86948.975339
2019-05-12,6968.24,8100,6870,7790.71,85804.735333
2019-05-13,7795.62,8366,7599.56,7947.56,76583.722603
2019-05-14,7945.26,8249,7850,8169.87,37884.327211
2019-05-15,8169.08,8320,7705,7866.59,69630.513996
2019-05-16,7868.67,7925,6913,7355.26,88752.008159
2019-05-17,7355.28,7458,7156.61,7257.45,37054.944779
2019-05-18,7257.32,8275.09,7243.08,8148.48,65577.442058
2019-05-19,8147.94,8156.03,7553,7938.15,65859.208564
2019-05-20,7937.16,8042.32,7771,7904.87,52301.752247
2019-05-21,7904.48,8016,7465,7628.43,49136.994589
2019-05-22,7627.8,7940.98,7461,7851.51,49648.184701
2019-05-23,7849.95,8130,7766,7964.87,46664.785325
2019-05-24,7964.52,8091.8,7908.34,8025.41,28414.328817
2019-05-25,8023,8740,7833.42,8614.43,49652.144567
2019-05-26,8612.54,8908.32,8589,8756.32,51886.768793
2019-05-27,8752.52,8798.49,8510.63,8715.64,31470.551534
2019-05-28,8716.87,8750,8406.6,8645.68,33880.865922
2019-05-29,8646.5,9074.26,8005,8269.54,70379.998521
2019-05-30,8267.1,8594,8108.5,8555,44727.491620
2019-05-31,8555,8626,8442.36,8544.07,31868.234157
2019-06-01,8545.1,8814.78,8524,8725.98,27835.133265
2019-06-02,8726,8800.95,8080.8,8115.82,45692.965104
2019-06-03,8115.66,8115.66,7481.02,7687.03,74143.948941
2019-06-04,7687.04,7896.7,7572.78,7776.5,48679.656455
2019-06-05,7778.08,7868.13,7444.58,7786.7,36624.118747
2019-06-06,7787.57,8100,7737.49,7980.53,33942.225658
2019-06-07,7978.94,8044.65,7751,7893.62,22657.329634
2019-06-08,7895.28,7935,7506.66,7628.13,31568.465157
2019-06-09,7627.57,8020,7511,7982.75,36756.078468
2019-06-10,7981,8010,7692.23,7884.9,30334.999427
2019-06-11,7884.9,8200,7788.99,8127.64,41597.082622
2019-06-12,8127.64,8309.82,8010.03,8218.54,30467.764341
2019-06-13,8216.44,8684.41,8144.32,8650,39835.246255
2019-06-14,8650.88,8864.99,8567.63,8808.7,31791.636039
2019-06-15,8810.77,9333,8760,8953.33,63289.251219
2019-06-16,8953,9444,8950,9313.96,47895.485374
2019-06-17,9312.13,9336.36,8950,9081.55,51554.569401
2019-06-18,9081.97,9304,8960,9255.49,32147.706495
2019-06-19,9253.76,9590,9175.2,9517.12,34556.053982
2019-06-20,9518.06,10174.99,9518.06,10159.86,50484.415892
2019-06-21,10159.86,11160,9921.72,10729.5,104169.447976
2019-06-22,10729,11392.64,10555.18,10906.07,57445.323945
2019-06-23,10905.95,11143.63,10620.8,11056.59,43101.045285
2019-06-24,11056.59,11850,11026,11820.86,61276.686648
2019-06-25,11821.28,13970,11741,13093.8,155930.147386
2019-06-26,13098.38,13478.04,10525.1,11329.99,173894.820889
2019-06-27,11329.99,12480,10982.88,12400.63,95795.203964
2019-06-28,12407.06,12441.54,11475.02,11903.13,69642.074157
2019-06-29,11903.13,12180,10766.03,10854.1,84512.530443
2019-06-30,10854.1,11282.28,10030,10624.93,90962.268271
2019-07-01,10624.9,10938.75,9727,10842.85,109561.038728
2019-07-02,10844.98,11991.89,10841.04,11940,96815.900290
2019-07-03,11940,12000,11055,11145.67,66512.221892
2019-07-04,11145.67,11406.83,10796.44,10970.73,63534.350582
2019-07-05,10982.41,11665,10964.51,11256.49,51469.496331
2019-07-06,11256.45,11538,11094.37,11406.24,38884.795599
2019-07-07,11410,12338.03,11220,12238.6,52182.367215
2019-07-08,12238.6,12794.73,12068,12543.41,78442.130343
2019-07-09,12548.51,13147.08,11569,12108.37,109246.044997
2019-07-10,12108.11,12111.73,11000,11342.89,87506.461058
2019-07-11,11342.88,11885,11073,11757.22,56321.858281
2019-07-12,11757.22,11799.98,10830,11355.76,54245.594548
2019-07-13,11355.78,11452,10103,10174.18,72517.579236
2019-07-14,10174.18,11100,9860,10838.72,81922.426332
2019-07-15,10833.78,11028,9350.01,9439.59,97219.443413
2019-07-16,9430.17,9957,9060,9667.92,84942.672717
2019-07-17,9668.86,10788,9252,10627.16,80283.310252
2019-07-18,10628.64,10769.71,10121.84,10504.29,56546.932133
2019-07-19,10505.78,11068.99,10350,10740.23,47331.899848
2019-07-20,10740.27,10817.9,10288,10589.45,38834.287935
2019-07-21,10590.15,10683.16,10100,10340.31,40467.954839
2019-07-22,10343.08,10343.97,9822,9864.91,47624.370710
2019-07-23,9864.78,9937,9525,9763.28,43475.380377
2019-07-24,9763.4,10175,9720.03,9879.87,37873.354728
2019-07-25,9882.15,9889.98,9637,9824,27167.463217
2019-07-26,9824,10188.66,9333,9476.52,43809.778301
2019-07-27,9478.92,9594.99,9165,9541.54,29401.022937
2019-07-28,9541.54,9729,9395,9507.64,29021.937411
2019-07-29,9509.07,9714.28,9402,9574.21,32536.368834
2019-07-30,9575,10109.8,9555,10080.53,39515.354560
2019-07-31,10080.53,10467.86,9863.46,10374.99,41727.637028
2019-08-01,10375,10670,10281.35,10523.75,42990.444221
2019-08-02,10523.75,10904.77,10497.93,10816.86,33802.318824
2019-08-03,10816.86,11040,10552,10929.23,39924.745141
2019-08-04,10929.99,11937.52,10927.8,11828.8,65153.673713
2019-08-05,11830,12330.7,11226.7,11481.69,76705.389875
2019-08-06,11481.69,12141.17,11382.84,11975.03,69173.390353
2019-08-07,11975.04,12060,11521,11999.77,51207.257174
2019-08-08,11994.17,12045.68,11700,11879.99,39427.152588
2019-08-09,11879.98,11985,11270,11309.31,42633.087048
2019-08-10,11309.24,11600,11112.11,11549.97,26772.906910
2019-08-11,11539.08,11577.89,11235.32,11396.08,17568.227075
2019-08-12,11398.35,11456.16,10788.45,10892.71,33234.729680
2019-08-13,10893.36,10897.48,9928.1,10050.37,54451.847499
2019-08-14,10055.16,10460,9911,10293.93,38174.451120
2019-08-15,10296.77,10536.03,9750,10331.54,51758.142918
2019-08-16,10331.15,10465.14,10000,10216.02,29000.581201
2019-08-17,10216.05,10500,10080,10306.78,24085.395172
2019-08-18,10306.17,10930,10258.6,10915.54,37243.319217
2019-08-19,10914.73,10949.96,10560,10760.51,32298.921679
2019-08-20,10760.51,10804.13,9858,10142.57,47355.719282
2019-08-21,10140.82,10242,9762,10099.88,34059.642738
2019-08-22,10099.9,10445,10019.79,10389.55,27550.336173
2019-08-23,10388.16,10419.42,9890,10134.35,27692.456844
2019-08-24,10134.61,10333,9906.97,10142.69,26271.657398
2019-08-25,10142.69,10604,10137.93,10372.25,41687.511599
2019-08-26,10373.6,10391.08,10051.08,10185.05,28402.775383
2019-08-27,10185.69,10299,9601.01,9721,42110.555375
2019-08-28,9721,9724,9320,9498.44,35532.694910
2019-08-29,9499.01,9696,9350.41,9584.54,26834.318104
2019-08-30,9582.76,9684.51,9420.75,9587.47,17130.290074
2019-08-31,9588.74,9830,9520,9724.98,19545.404843
2019-09-01,9723.59,10450,9712.5,10340,44740.248093
2019-09-02,10340,10773,10272,10615.28,47998.376781
2019-09-03,10611.85,10799,10369.89,10567.02,43943.889026
2019-09-04,10565.92,10900,10450,10564.49,33970.960639
2019-09-05,10563.13,10905.87,10150,10298.73,58799.640959
2019-09-06,10298.71,10558,10288.57,10455.88,27637.877392
2019-09-07,10455.9,10592.5,10208,10381.18,23984.672018
2019-09-08,10381.24,10480,10068.5,10303.12,39835.727608
2019-09-09,10302.58,10384.99,9953,10098.15,28915.412225
2019-09-10,10098.19,10293,9880,10158.33,31953.824562
2019-09-11,10158.75,10448.81,10040,10415.01,34511.162755
2019-09-12,10415.01,10439,10153,10342.06,30280.339776
2019-09-13,10344.13,10419.99,10222.33,10335.02,23621.533519
2019-09-14,10332.81,10360,10252.15,10302.01,18047.654013
2019-09-15,10303.34,10355,10078,10251.31,28971.401657
2019-09-16,10249.68,10275,10128.01,10187.82,22914.324563
2019-09-17,10187.48,10258.02,10100,10156.99,24250.249303
2019-09-18,10156.41,10325,9653,10244.29,44826.282579
2019-09-19,10243.7,10281,10061.39,10168.59,25088.491069
2019-09-20,10167.92,10176.7,9900,9986.39,20544.175196
2019-09-21,9985.15,10089,9853.97,10028.87,22049.275256
2019-09-22,10028.05,10049.99,9615.77,9702.25,31937.232356
2019-09-23,9702.2,9794.99,7800,8493.14,94007.345203
2019-09-24,8497.55,8730,8215.64,8430.05,60783.892258
2019-09-25,8430.05,8465.99,7750,8063.73,67930.853749
2019-09-26,8063.49,8265,7852.15,8177.91,43882.924625
2019-09-27,8177.47,8315,8001.09,8198.81,34473.605165
2019-09-28,8199.38,8229.13,7890,8043.82,31544.211388
2019-09-29,8043.04,8337.26,7710,8289.34,55865.487260
2019-09-30,8289.97,8500,8173.05,8292.44,43472.418091
2019-10-01,8292.67,8373.91,8151.22,8359.94,26243.386644
2019-10-02,8360,8393,8060,8223.96,30488.284058
2019-10-03,8224.43,8232.41,8005,8137.13,26476.330404
2019-10-04,8137.09,8183.41,8012.98,8126.19,21907.615564
2019-10-05,8127.55,8153.87,7785,7854.25,34676.104049
2019-10-06,7855.3,8299.92,7762,8190.09,52202.072297
2019-10-07,8190.82,8325,8088.75,8168.39,35452.657423
2019-10-08,8170.79,8670,8115,8560.74,55038.704378
2019-10-09,8562.15,8644,8414.52,8558.03,39137.946167
2019-10-10,8557.82,8779.51,8212.38,8258.5,50405.284418
2019-10-11,8257.95,8400,8250,8300.09,21339.334098
2019-10-12,8301.98,8451.37,8160,8275.01,27840.739953
2019-10-13,8275.24,8388.85,8203,8348.2,29810.663253
2019-10-14,8346.86,8403,8090,8159.29,32773.062476
2019-10-15,8159.3,8181.16,7917,7991.74,34733.593966
2019-10-16,7995.02,8124.92,7929.03,8070.58,29656.949158
2019-10-17,8070.71,8115,7816.01,7947.01,31353.181416
2019-10-18,7946.89,8098.1,7866.92,7948.01,26627.889388
2019-10-19,7949.87,8297,7870,8223.35,34286.452654
2019-10-20,8223.35,8333,8142.03,8197.27,30448.679539
2019-10-21,8197.28,8297.99,8000,8020,34651.828663
2019-10-22,8020.06,8047.59,7300,7466.62,63897.457098
2019-10-23,7468.47,7503.68,7337.99,7412.41,32714.383265
2019-10-24,7412.41,8799,7361,8655.02,90748.218174
2019-10-25,8655.88,10370,8470.38,9230,162588.585413
2019-10-26,9230,9794.98,9074.34,9529.93,93833.541604
2019-10-27,9528.23,9902.1,9160,9205.14,80174.217323
2019-10-28,9204.45,9550,9072,9407.62,64158.462446
2019-10-29,9407.62,9409.84,9001.01,9154.72,55241.786434
2019-10-30,9154.02,9405,8913,9140.85,54376.024902
2019-10-31,9140.86,9279,9030,9231.61,43594.814115
2019-11-01,9231.4,9373.74,9186.21,9289.52,28923.060828
2019-11-02,9289.85,9362.57,9066.14,9194.71,27894.378279
2019-11-03,9196.46,9513.68,9115.84,9393.35,45894.456277
2019-11-04,9392.4,9454.95,9175.76,9308.66,45935.873665
2019-11-05,9307.73,9440.91,9250.01,9339.05,37336.170372
2019-11-06,9339.16,9375,9101,9216.2,39117.470853
2019-11-07,9214,9261,8696,8773.73,62107.289243
2019-11-08,8773.74,8880,8724.88,8809.41,29469.481405
2019-11-09,8809.18,9147.19,8750,9039.47,34422.029797
2019-11-10,9040.16,9072.32,8618.68,8733.27,44888.053545
2019-11-11,8733.36,8888,8567.6,8821.94,40366.629471
2019-11-12,8821.91,8844.99,8702,8777.12,26810.116918
2019-11-13,8777.54,8800,8582.6,8646.68,33468.468961
2019-11-14,8646.38,8790,8400,8471.73,46087.417751
2019-11-15,8471.62,8543,8400,8491.02,20902.299752
2019-11-16,8490.74,8635,8350.68,8502.4,27009.037082
2019-11-17,8502.87,8503.52,8060,8187.17,43017.690940
2019-11-18,8186.5,8218.63,8003,8133.64,43556.061025
2019-11-19,8133.83,8264.29,8038.4,8098.01,32466.230980
2019-11-20,8098.56,8134.73,7500,7627.74,58418.780261
2019-11-21,7627.79,7750,6790,7268.23,126603.140259
2019-11-22,7268.23,7344.48,7080.01,7311.57,50449.894755
2019-11-23,7311.1,7330.39,6861,6903.28,67890.206483
2019-11-24,6900.23,7377.69,6515,7109.57,119645.735197
2019-11-25,7109.99,7340,7017.48,7156.14,65722.397690
2019-11-26,7154.75,7655,6840,7508.52,92452.873490
2019-11-27,7507.9,7643,7360,7419.49,56933.981109
2019-11-28,7418.52,7850,7362.3,7739.68,60745.300873
2019-11-29,7740.99,7810,7441,7541.89,46989.433619
2019-11-30,7540.63,7541.85,7210,7390.89,60769.342313
2019-12-01,7391.5,7420.56,7151.1,7294.28,46330.256040
2019-12-02,7294.42,7400,7241.35,7292.71,33149.477487
2019-12-03,7292.71,7750,7067,7194.32,83147.149142
2019-12-04,7194.59,7485,7150,7389,59306.678855
2019-12-05,7389,7590.03,7305,7527.47,48189.087944
2019-12-06,7527.8,7619.62,7470.16,7488.21,31498.684173
2019-12-07,7487.31,7564,7374.86,7510.11,29856.897631
2019-12-08,7510.11,7650,7273,7338.64,46621.887493
2019-12-09,7338.64,7407.6,7157.1,7224.13,49723.762140
2019-12-10,7224.15,7275.5,7125.66,7210,30093.091944
2019-12-11,7210,7295,7080.3,7198.08,42288.600932
2019-12-12,7197.76,7309.05,7190.76,7258.48,27609.873795
2019-12-13,7257.37,7271.77,7012,7064.05,29561.985967
2019-12-14,7064.14,7200.3,7008.35,7118.59,26395.778137
2019-12-15,7119.6,7150,6836,6891.72,43863.993059
2019-12-16,6891.44,6942.21,6560,6623.82,53865.069929
2019-12-17,6623.84,7440,6435,7277.83,95636.651251
2019-12-18,7277.83,7380,7038.31,7150.3,55509.049075
2019-12-19,7151.31,7220,7079.5,7187.83,32132.069205
2019-12-20,7188.01,7190.58,7105,7132.75,19467.174028
2019-12-21,7131.59,7518.54,7122.47,7501.44,39137.455150
2019-12-22,7500.71,7695.38,7265.84,7317.09,68051.997203
2019-12-23,7317.3,7436.68,7157.04,7255.77,43629.494188
2019-12-24,7255.77,7271.77,7128.86,7204.63,27492.044323
2019-12-25,7205.01,7435,7157.12,7202,36259.761076
2019-12-26,7202,7275.86,7076.42,7254.74,33642.701861
2019-12-27,7254.77,7365.01,7238.67,7316.14,26848.982199
2019-12-28,7315.36,7528.45,7288,7388.24,31387.106085
2019-12-29,7388.43,7408.24,7220,7246,29605.911782
2019-12-30,7246,7320,7145.01,7195.23,25954.453533
2019-12-31,7195.24,7255,7175.15,7200.85,16792.388165
2020-01-01,7200.77,7212.5,6924.74,6965.71,31951.483932
2020-01-02,6965.49,7405,6871.04,7344.96,68428.500451
2020-01-03,7345,7404,7272.21,7354.11,29987.974977
2020-01-04,7354.19,7495,7318,7358.75,38331.085604
2020-01-05,7357.64,7795.34,7346.76,7758,54635.695316
2020-01-06,7758.9,8207.68,7723.71,8145.28,91171.684661
2020-01-07,8145.92,8455,7870,8055.98,112622.642640
2020-01-08,8054.72,8055.96,7750,7817.76,64239.519830
2020-01-09,7817.74,8199,7672,8197.02,82406.777448
2020-01-10,8198.86,8286.34,8003.16,8020.01,54810.032667
2020-01-11,8020.01,8197,7960,8184.98,38131.494336
2020-01-12,8184.97,8196,8055.89,8110.34,31159.755683
2020-01-13,8110.34,8880,8105.54,8810.01,120399.126742
2020-01-14,8814.64,8916.48,8564,8821.41,84816.297606
2020-01-15,8820.01,8859.81,8586,8720.01,51991.074284
2020-01-16,8720.15,9041.65,8672.44,8913.28,70897.737377
2020-01-17,8913.27,8988.88,8806.38,8915.96,38294.746545
2020-01-18,8915.09,9198.98,8466,8701.7,70676.889259
2020-01-19,8701.72,8746.99,8521.28,8642.35,38896.639746
2020-01-20,8642.35,8789,8488,8736.03,36494.687659
2020-01-21,8736.04,8818,8590,8682.36,29080.557138
2020-01-22,8682.77,8691.81,8306.39,8404.52,48165.944597
2020-01-23,8404.52,8528.02,8238,8439,41687.529529
2020-01-24,8438.99,8451.26,8254.9,8340.58,25521.157932
2020-01-25,8340.01,8618.13,8293.66,8615,31130.485164
2020-01-26,8614.39,9000,8535,8907.57,53973.542996
2020-01-27,8907.57,9400,8862.4,9374.21,74584.853765
2020-01-28,9375.34,9449.24,9216,9301.53,53864.065122
2020-01-29,9301.57,9578,9204.44,9513.21,60626.744259
2020-01-30,9511.52,9530.22,9210.01,9352.89,45552.022352
2020-01-31,9351.71,9464.53,9281,9384.61,28578.067354
2020-02-01,9384.41,9477.03,9120,9331.51,45690.912540
2020-02-02,9331.59,9618.79,9234,9292.24,50892.133451
2020-02-03,9291.35,9350,9093.01,9197.02,53308.175266
2020-02-04,9197.02,9744.45,9177.22,9612.04,64870.415615
2020-02-05,9612.03,9862.57,9526.35,9772,64949.706588
2020-02-06,9772,9885,9730,9813.73,43966.114632
2020-02-07,9813.87,9940,9667.11,9895.05,43600.843666
2020-02-08,9895.04,10166,9880.75,10151.75,43408.475616
2020-02-09,10151.72,10188,9756,9851.83,59573.084619
2020-02-10,9851.74,10323.59,9700,10223.08,62422.395224
2020-02-11,10223.08,10450,10223.08,10326.46,61008.063930
2020-02-12,10325.33,10500,10080,10229.63,79344.358759
2020-02-13,10227.78,10381.56,10111.37,10344.36,47038.480173
